sample_frac,from_var,to_var,edge_type,edge_str,freq
0.5,breath_v_average_std_t,breath_average_std_t,directed,breath_v_average_std_t -> breath_average_std_t,0.81
0.5,temperature_deviation_std_t,breath_average_std_t,directed,temperature_deviation_std_t -> breath_average_std_t,0.828
0.5,deep_std_t,breath_average_std_t,directed,deep_std_t -> breath_average_std_t,0.731
0.5,breath_average_std_t,rem_mean_t,directed,breath_average_std_t -> rem_mean_t,0.011
0.5,hr_lowest_std_t,efficiency_std_t,directed,hr_lowest_std_t -> efficiency_std_t,0.73
0.5,hr_lowest_std_t,deep_std_t,directed,hr_lowest_std_t -> deep_std_t,0.37
0.5,deep_mean_t,breath_v_average_mean_t,directed,deep_mean_t -> breath_v_average_mean_t,0.972
0.5,rem_mean_t,breath_v_average_mean_t,directed,rem_mean_t -> breath_v_average_mean_t,0.946
0.5,deep_std_t,breath_v_average_std_t,directed,deep_std_t -> breath_v_average_std_t,0.363
0.5,rem_std_t,breath_v_average_std_t,directed,rem_std_t -> breath_v_average_std_t,0.881
0.5,temperature_trend_deviation_mean_t,temperature_deviation_mean_t,directed,temperature_trend_deviation_mean_t -> temperature_deviation_mean_t,0.422
0.5,temperature_trend_deviation_std_t,temperature_deviation_mean_t,directed,temperature_trend_deviation_std_t -> temperature_deviation_mean_t,0.345
0.5,awake_mean_t,temperature_deviation_mean_t,directed,awake_mean_t -> temperature_deviation_mean_t,0.229
0.5,temperature_deviation_std_t,temperature_trend_deviation_std_t,directed,temperature_deviation_std_t -> temperature_trend_deviation_std_t,0.982
0.5,temperature_deviation_std_t,light_std_t,directed,temperature_deviation_std_t -> light_std_t,0.396
0.5,temperature_max_mean_t,efficiency_mean_t,directed,temperature_max_mean_t -> efficiency_mean_t,0.958
0.5,temperature_max_mean_t,light_mean_t,directed,temperature_max_mean_t -> light_mean_t,0.875
0.5,temperature_max_std_t,efficiency_std_t,directed,temperature_max_std_t -> efficiency_std_t,0.822
0.5,temperature_max_std_t,deep_std_t,directed,temperature_max_std_t -> deep_std_t,0.334
0.5,temperature_max_std_t,light_std_t,directed,temperature_max_std_t -> light_std_t,0.949
0.5,awake_mean_t,onset_latency_mean_t,directed,awake_mean_t -> onset_latency_mean_t,0.53
0.5,awake_std_t,onset_latency_std_t,directed,awake_std_t -> onset_latency_std_t,0.282
0.5,deep_mean_t,efficiency_mean_t,directed,deep_mean_t -> efficiency_mean_t,1.0
0.5,rem_mean_t,efficiency_mean_t,directed,rem_mean_t -> efficiency_mean_t,1.0
0.5,awake_mean_t,efficiency_mean_t,directed,awake_mean_t -> efficiency_mean_t,1.0
0.5,efficiency_std_t,deep_std_t,directed,efficiency_std_t -> deep_std_t,0.323
0.5,light_mean_t,efficiency_std_t,directed,light_mean_t -> efficiency_std_t,0.224
0.5,light_std_t,efficiency_std_t,directed,light_std_t -> efficiency_std_t,0.638
0.5,awake_std_t,efficiency_std_t,directed,awake_std_t -> efficiency_std_t,0.92
0.5,awake_std_t,efficiency_std_t,undirected,awake_std_t -- efficiency_std_t,0.001
0.5,deep_mean_t,light_mean_t,directed,deep_mean_t -> light_mean_t,0.501
0.5,light_std_t,deep_std_t,directed,light_std_t -> deep_std_t,0.937
0.5,rem_mean_t,light_mean_t,directed,rem_mean_t -> light_mean_t,0.733
0.5,awake_mean_t,light_mean_t,directed,awake_mean_t -> light_mean_t,0.877
0.5,rem_std_t,light_std_t,directed,rem_std_t -> light_std_t,0.986
0.5,awake_std_t,light_std_t,directed,awake_std_t -> light_std_t,0.713
0.5,awake_std_t,light_std_t,undirected,awake_std_t -- light_std_t,0.035
0.5,rem_std_t,awake_std_t,directed,rem_std_t -> awake_std_t,0.653
0.5,age_binned,deep_mean_tm1,directed,age_binned -> deep_mean_tm1,0.181
0.5,age_binned,breath_v_average_mean_t,directed,age_binned -> breath_v_average_mean_t,0.235
0.5,age_binned,rem_mean_t,directed,age_binned -> rem_mean_t,0.433
0.5,sex_encoded,onset_latency_mean_tm1,directed,sex_encoded -> onset_latency_mean_tm1,0.532
0.5,sex_encoded,hr_average_std_t,directed,sex_encoded -> hr_average_std_t,0.382
0.5,promis_dep_sum_tm1,awake_std_tm1,directed,promis_dep_sum_tm1 -> awake_std_tm1,0.093
0.5,breath_v_average_std_tm1,hr_average_mean_tm1,directed,breath_v_average_std_tm1 -> hr_average_mean_tm1,0.021
0.5,hr_average_std_tm1,onset_latency_std_t,directed,hr_average_std_tm1 -> onset_latency_std_t,0.025
0.5,hr_lowest_mean_tm1,rmssd_mean_tm1,directed,hr_lowest_mean_tm1 -> rmssd_mean_tm1,0.971
0.5,hr_lowest_mean_tm1,rmssd_mean_tm1,undirected,hr_lowest_mean_tm1 -- rmssd_mean_tm1,0.002
0.5,deep_mean_tm1,rmssd_mean_tm1,directed,deep_mean_tm1 -> rmssd_mean_tm1,0.904
0.5,rem_mean_tm1,rmssd_mean_tm1,directed,rem_mean_tm1 -> rmssd_mean_tm1,0.877
0.5,rem_mean_tm1,rmssd_mean_tm1,undirected,rem_mean_tm1 -- rmssd_mean_tm1,0.012
0.5,rmssd_std_tm1,deep_std_tm1,directed,rmssd_std_tm1 -> deep_std_tm1,0.356
0.5,rmssd_std_tm1,rem_std_t,directed,rmssd_std_tm1 -> rem_std_t,0.834
0.5,breath_v_average_mean_tm1,breath_average_std_tm1,directed,breath_v_average_mean_tm1 -> breath_average_std_tm1,0.125
0.5,temperature_deviation_std_tm1,breath_average_std_tm1,directed,temperature_deviation_std_tm1 -> breath_average_std_tm1,0.277
0.5,light_std_tm1,breath_average_std_tm1,directed,light_std_tm1 -> breath_average_std_tm1,0.567
0.5,hr_lowest_std_tm1,temperature_max_std_tm1,directed,hr_lowest_std_tm1 -> temperature_max_std_tm1,0.311
0.5,hr_lowest_std_tm1,temperature_max_std_tm1,undirected,hr_lowest_std_tm1 -- temperature_max_std_tm1,0.004
0.5,deep_mean_tm1,breath_v_average_mean_tm1,directed,deep_mean_tm1 -> breath_v_average_mean_tm1,0.87
0.5,breath_v_average_std_tm1,deep_std_tm1,directed,breath_v_average_std_tm1 -> deep_std_tm1,0.828
0.5,temperature_deviation_mean_tm1,temperature_trend_deviation_mean_t,directed,temperature_deviation_mean_tm1 -> temperature_trend_deviation_mean_t,0.314
0.5,temperature_trend_deviation_mean_tm1,temperature_deviation_std_tm1,directed,temperature_trend_deviation_mean_tm1 -> temperature_deviation_std_tm1,0.179
0.5,temperature_trend_deviation_std_tm1,temperature_deviation_std_tm1,directed,temperature_trend_deviation_std_tm1 -> temperature_deviation_std_tm1,0.187
0.5,rem_mean_tm1,temperature_max_mean_tm1,directed,rem_mean_tm1 -> temperature_max_mean_tm1,0.027
0.5,rem_mean_tm1,temperature_max_mean_tm1,undirected,rem_mean_tm1 -- temperature_max_mean_tm1,0.098
0.5,light_std_tm1,temperature_max_std_tm1,directed,light_std_tm1 -> temperature_max_std_tm1,0.338
0.5,light_std_tm1,temperature_max_std_tm1,undirected,light_std_tm1 -- temperature_max_std_tm1,0.027
0.5,onset_latency_mean_tm1,light_mean_tm1,directed,onset_latency_mean_tm1 -> light_mean_tm1,0.281
0.5,onset_latency_mean_tm1,awake_mean_tm1,directed,onset_latency_mean_tm1 -> awake_mean_tm1,0.353
0.5,awake_mean_tm1,onset_latency_std_tm1,directed,awake_mean_tm1 -> onset_latency_std_tm1,0.115
0.5,awake_std_tm1,onset_latency_std_tm1,directed,awake_std_tm1 -> onset_latency_std_tm1,0.278
0.5,awake_std_tm1,onset_latency_std_tm1,undirected,awake_std_tm1 -- onset_latency_std_tm1,0.159
0.5,light_std_tm1,efficiency_std_tm1,directed,light_std_tm1 -> efficiency_std_tm1,0.229
0.5,deep_mean_tm1,light_mean_tm1,directed,deep_mean_tm1 -> light_mean_tm1,0.835
0.5,light_std_tm1,deep_std_tm1,directed,light_std_tm1 -> deep_std_tm1,0.659
0.5,light_std_tm1,awake_std_tm1,directed,light_std_tm1 -> awake_std_tm1,0.018
0.5,rem_mean_tm1,rem_std_t,directed,rem_mean_tm1 -> rem_std_t,0.31
0.5,awake_std_tm1,rem_std_tm1,directed,awake_std_tm1 -> rem_std_tm1,0.496
0.5,awake_std_tm1,rem_std_tm1,undirected,awake_std_tm1 -- rem_std_tm1,0.204
0.5,rem_std_tm1,promis_dep_sum_t,directed,rem_std_tm1 -> promis_dep_sum_t,0.182
0.5,promis_dep_sum_t,promis_anx_sum_t,directed,promis_dep_sum_t -> promis_anx_sum_t,0.267
0.5,promis_dep_sum_t,rem_std_t,directed,promis_dep_sum_t -> rem_std_t,0.381
0.5,breath_average_mean_t,hr_average_mean_t,directed,breath_average_mean_t -> hr_average_mean_t,0.542
0.5,breath_v_average_mean_t,hr_average_mean_t,directed,breath_v_average_mean_t -> hr_average_mean_t,0.146
0.5,temperature_deviation_mean_t,hr_average_mean_t,directed,temperature_deviation_mean_t -> hr_average_mean_t,0.374
0.5,breath_average_std_t,hr_average_std_t,directed,breath_average_std_t -> hr_average_std_t,0.705
0.5,efficiency_std_t,hr_average_std_t,directed,efficiency_std_t -> hr_average_std_t,0.233
0.5,rmssd_mean_t,deep_mean_t,directed,rmssd_mean_t -> deep_mean_t,0.465
0.5,rmssd_mean_t,rem_mean_t,directed,rmssd_mean_t -> rem_mean_t,0.289
0.5,temperature_trend_deviation_std_t,rmssd_std_t,directed,temperature_trend_deviation_std_t -> rmssd_std_t,0.306
0.5,deep_std_t,rmssd_std_t,directed,deep_std_t -> rmssd_std_t,0.248
0.5,breath_v_average_std_t,hr_lowest_std_t,directed,breath_v_average_std_t -> hr_lowest_std_t,0.068
0.5,temperature_max_mean_t,hr_lowest_std_t,directed,temperature_max_mean_t -> hr_lowest_std_t,0.716
0.5,deep_std_t,hr_lowest_std_t,directed,deep_std_t -> hr_lowest_std_t,0.595
0.5,breath_v_average_mean_t,deep_mean_t,directed,breath_v_average_mean_t -> deep_mean_t,0.028
0.5,breath_v_average_std_t,deep_std_t,directed,breath_v_average_std_t -> deep_std_t,0.637
0.5,temperature_deviation_mean_t,temperature_trend_deviation_mean_t,directed,temperature_deviation_mean_t -> temperature_trend_deviation_mean_t,0.485
0.5,temperature_deviation_mean_t,temperature_trend_deviation_mean_t,undirected,temperature_deviation_mean_t -- temperature_trend_deviation_mean_t,0.093
