sample_frac,from_var,to_var,edge_type,edge_str,freq
0.5,breath_average_std_t,deep_std_t,directed,breath_average_std_t -> deep_std_t,0.093
0.5,breath_v_average_std_t,hr_lowest_std_t,directed,breath_v_average_std_t -> hr_lowest_std_t,0.062
0.5,temperature_max_mean_t,hr_lowest_std_t,directed,temperature_max_mean_t -> hr_lowest_std_t,0.715
0.5,efficiency_std_t,hr_lowest_std_t,directed,efficiency_std_t -> hr_lowest_std_t,0.199
0.5,deep_std_t,hr_lowest_std_t,directed,deep_std_t -> hr_lowest_std_t,0.56
0.5,deep_mean_t,breath_v_average_mean_t,directed,deep_mean_t -> breath_v_average_mean_t,0.978
0.5,rem_mean_t,breath_v_average_mean_t,directed,rem_mean_t -> breath_v_average_mean_t,0.956
0.5,awake_std_t,breath_v_average_mean_t,directed,awake_std_t -> breath_v_average_mean_t,0.518
0.5,breath_v_average_std_t,deep_std_t,directed,breath_v_average_std_t -> deep_std_t,0.684
0.5,rem_std_t,breath_v_average_std_t,directed,rem_std_t -> breath_v_average_std_t,0.895
0.5,temperature_deviation_mean_t,temperature_trend_deviation_mean_t,directed,temperature_deviation_mean_t -> temperature_trend_deviation_mean_t,0.712
0.5,temperature_deviation_std_t,temperature_trend_deviation_std_t,directed,temperature_deviation_std_t -> temperature_trend_deviation_std_t,0.979
0.5,awake_std_t,temperature_deviation_std_t,directed,awake_std_t -> temperature_deviation_std_t,0.085
0.5,temperature_max_mean_t,onset_latency_mean_t,directed,temperature_max_mean_t -> onset_latency_mean_t,0.053
0.5,temperature_max_mean_t,efficiency_mean_t,directed,temperature_max_mean_t -> efficiency_mean_t,0.963
0.5,temperature_max_mean_t,light_mean_t,directed,temperature_max_mean_t -> light_mean_t,0.84
0.5,temperature_max_std_t,efficiency_std_t,directed,temperature_max_std_t -> efficiency_std_t,0.861
0.5,temperature_max_std_t,deep_std_t,directed,temperature_max_std_t -> deep_std_t,0.431
0.5,temperature_max_std_t,light_std_t,directed,temperature_max_std_t -> light_std_t,0.952
0.5,onset_latency_mean_t,light_mean_t,directed,onset_latency_mean_t -> light_mean_t,0.193
0.5,awake_mean_t,onset_latency_mean_t,directed,awake_mean_t -> onset_latency_mean_t,0.33
0.5,onset_latency_std_t,awake_std_t,directed,onset_latency_std_t -> awake_std_t,0.709
0.5,deep_mean_t,efficiency_mean_t,directed,deep_mean_t -> efficiency_mean_t,1.0
0.5,rem_mean_t,efficiency_mean_t,directed,rem_mean_t -> efficiency_mean_t,1.0
0.5,awake_mean_t,efficiency_mean_t,directed,awake_mean_t -> efficiency_mean_t,1.0
0.5,light_std_t,efficiency_std_t,directed,light_std_t -> efficiency_std_t,0.612
0.5,awake_std_t,efficiency_std_t,directed,awake_std_t -> efficiency_std_t,0.957
0.5,light_mean_t,deep_mean_t,directed,light_mean_t -> deep_mean_t,0.46
0.5,light_std_t,deep_std_t,directed,light_std_t -> deep_std_t,0.928
0.5,rem_mean_t,light_mean_t,directed,rem_mean_t -> light_mean_t,0.696
0.5,awake_mean_t,light_mean_t,directed,awake_mean_t -> light_mean_t,0.836
0.5,rem_std_t,light_std_t,directed,rem_std_t -> light_std_t,0.987
0.5,awake_std_t,light_std_t,directed,awake_std_t -> light_std_t,0.783
0.5,rem_std_t,awake_std_t,directed,rem_std_t -> awake_std_t,0.637
0.5,age_binned,onset_latency_mean_t,directed,age_binned -> onset_latency_mean_t,0.194
0.5,ethnicity_encoded,awake_std_t,directed,ethnicity_encoded -> awake_std_t,0.194
0.5,promis_anx_sum_tm1,promis_dep_sum_tm1,directed,promis_anx_sum_tm1 -> promis_dep_sum_tm1,0.73
0.5,promis_dep_sum_tm1,hr_average_mean_tm1,directed,promis_dep_sum_tm1 -> hr_average_mean_tm1,0.023
